Tag Name,Tag (Hex),Tag (Decimal)
ExposureTime,829a,33434
FNumber,829d,33437
ExposureProgram,8822,34850
PhotographicSensitivity,8827,34855
SensitivityType,8830,34864
RecommendedExposureIndex,8832,34866
ExifVersion,9000,36864
DateTimeOriginal,9003,36867
DateTimeDigitized,9004,36868
OffsetTime,9010,36880
OffsetTimeOriginal,9011,36881
OffsetTimeDigitized,9012,36882
ComponentsConfiguration,9101,37121
CompressedBitsPerPixel,9102,37122
ShutterSpeedValue,9201,37377
ApertureValue,9202,37378
BrightnessValue,9203,37379
ExposureBiasValue,9204,37380
MaxApertureValue,9205,37381
MeteringMode,9207,37383
LightSource,9208,37384
Flash,9209,37385
FocalLength,920a,37386
SubjectArea,9214,37396
MakerNote,927c,37500
UserComment,9286,37510
SubSecTime,9290,37520
SubSecTimeOriginal,9291,37521
SubSecTimeDigitized,9292,37522
FlashpixVersion,a000,40960
ColorSpace,a001,40961
PixelXDimension,a002,40962
PixelYDimension,a003,40963
RelatedSoundFile,a004,40964
InteroperabilityIFDPointer,a005,40965
FocalPlaneXResolution,a20e,41486
FocalPlaneYResolution,a20f,41487
FocalPlaneResolutionUnit,a210,41488
ExposureIndex,a215,41493
SensingMethod,a217,41495
FileSource,a300,41728
SceneType,a301,41729
CFAPattern,a302,41730
CustomRendered,a401,41985
ExposureMode,a402,41986
WhiteBalance,a403,41987
DigitalZoomRatio,a404,41988
FocalLengthIn35mmFilm,a405,41989
SceneCaptureType,a406,41990
GainControl,a407,41991
Contrast,a408,41992
Saturation,a409,41993
Sharpness,a40a,41994
SubjectDistanceRange,a40c,41996
ImageUniqueID,a420,42016
CameraOwnerName,a430,42032
BodySerialNumber,a431,42033
LensSpecification,a432,42034
LensMake,a433,42035
LensModel,a434,42036
LensSerialNumber,a435,42037
CompositeImage,a460,42080
Gamma,a500,42240
